"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Denader 001 **"|"Official"|" "|"2022"|"Gao, Mali"|"H4-melt breccia"|"5.33 kg"|" "|"(20.713120, -5.094050)  "
"Hassi Khebi 001 **"|"Official"|" "|"2022"|"Tindouf, Algeria"|"C3-ung"|"500 g"|" "|"(29.157860, -4.928690)  "
"Qaen 001"|"Official"|" "|"2016"|"Khorasan, Iran"|"L6"|"21 kg"|" "|"(33.237950, 59.718630)  "
"Aachen **"|"Official"|"Y"|"1880"|"Nordrhein-Westfalen, Germany"|"L5"|"21 g"|" "|"(50.775000, 6.083330)  "
"Aammiq **"|"Official"|" "|"2000"|"Al Biqa', Lebanon"|"H6"|"596 g"|" "|"(33.700000, 35.833330)  "
"Aarhus **"|"Official"|"Y"|"1951"|"Region Midtjylland, Denmark"|"H6"|"720 g"|" "|"(56.183330, 10.233330)  "
"Aba Panu **"|"Official"|"Yc"|"2018"|"Oyo, Nigeria"|"L3"|"160 kg"|" "|"(8.282180, 3.567140)  "
"Abadla **"|"Official"|" "|"2015"|"Bechar, Algeria"|"Eucrite-cm"|"222 g"|" "|"(30.936960, -2.715670)  "
"Abadla 002 **"|"Official"|" "|"2022"|"Bechar, Algeria"|"CM2"|"800 g"|" "|"(30.482800, -1.621040)  "
"Abadla 003 **"|"Official"|" "|"2022"|"Bechar, Algeria"|"CM2"|"75.4 g"|" "|"(30.482800, -1.621040)  "
"Abai **"|"Official"|" "|"2016"|"Chimkent, Kazakhstan"|"Iron, IIAB"|"666 g"|" "|"(42.685170, 70.072500)  "
"Abajo **"|"Official"|" "|"1982"|"Chihuahua, Mexico"|"H5"|"331 g"|" "|"(26.800000, -105.416670)  "
"Abar al' Uj 001"|"Official"|" "|"2008"|"Ash Sharqiyah, Saudi Arabia"|"H3.8"|"194.3 g"|" "|"(22.721920, 48.959370)  "
"Abar al' Uj 002"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"H5"|"224 g"|" "|"(22.541880, 48.723720)  "
"Abar al' Uj 003"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"H4"|"795 g"|" "|"(22.541570, 48.634120)  "
"Abar al' Uj 004"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"H6"|"284 g"|" "|"(22.542200, 48.771380)  "
"Abar al' Uj 005"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"H4-6"|"57.4 g"|" "|"(22.475430, 48.626100)  "
"Abar al' Uj 006"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"L5"|"83.7 g"|" "|"(22.458080, 48.591820)  "
"Abar al' Uj 007"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"L6"|"952 g"|" "|"(22.451900, 48.579930)  "
"Abar al' Uj 008"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"H5"|"37.1 g"|" "|"(22.413870, 48.521400)  "
"Abar al' Uj 009"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"H5"|"94 g"|" "|"(22.418580, 48.582230)  "
"Abar al' Uj 010"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"L6"|"386 g"|" "|"(22.522480, 48.785020)  "
"Abar al' Uj 011"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"H4"|"61.6 g"|" "|"(22.479380, 48.768920)  "
"Abar al' Uj 012 **"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"Lunar"|"122.8 g"|" "|"(22.399980, 48.706820)  "
"Abar al' Uj 013"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"H4-5"|"185.6 g"|" "|"(22.392420, 48.696370)  "
"Abar al' Uj 014 **"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"CO3"|"429 g"|" "|"(22.439670, 48.870830)  "
"Abar al' Uj 015"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"L5"|"53 g"|" "|"(22.737420, 48.816500)  "
"Abar al' Uj 016"|"Official"|" "|"2012"|"Ash Sharqiyah, Saudi Arabia"|"L6"|"269 g"|" "|"(22.858630, 48.904250)  "
