"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"(Lat,Long)"
"Northwest Africa 7757"|"Official"|"2012"|"Errachidia, Morocco"|"H5"|"13 kg"|" "
"Northwest Africa 7758"|"Official"|"2011"|"(Northwest Africa)"|"L5"|"80 g"|" "
"Northwest Africa 7759"|"Official"|"2011"|"(Northwest Africa)"|"H5"|"730 g"|" "
"Northwest Africa 7760"|"Official"|"2011"|"(Northwest Africa)"|"H6"|"461 g"|" "
"Northwest Africa 7761"|"Official"|"2011"|"(Northwest Africa)"|"H5"|"91 g"|" "
"Northwest Africa 7762"|"Official"|"2011"|"(Northwest Africa)"|"L5"|"269 g"|" "
"Northwest Africa 7763"|"Official"|"2011"|"(Northwest Africa)"|"H4"|"95 g"|" "
"Northwest Africa 7764"|"Official"|"2011"|"(Northwest Africa)"|"L5"|"31.5 g"|" "
"Northwest Africa 7765"|"Official"|"2011"|"(Northwest Africa)"|"H4"|"49.8 g"|" "
"Northwest Africa 7766 **"|"Official"|"2011"|"(Northwest Africa)"|"EL6"|"71.9 g"|" "
"Northwest Africa 7767 **"|"Official"|"2011"|"(Northwest Africa)"|"L-melt rock"|"72.1 g"|" "
"Northwest Africa 7768"|"Official"|"2011"|"(Northwest Africa)"|"H5"|"75.6 g"|" "
"Northwest Africa 7769"|"Official"|"2011"|"(Northwest Africa)"|"H6"|"30.1 g"|" "
"Northwest Africa 7770"|"Official"|"2012"|"(Northwest Africa)"|"H5"|"4.92 kg"|" "
"Northwest Africa 7771"|"Official"|"2012"|"(Northwest Africa)"|"H5"|"221 g"|" "
"Northwest Africa 7772"|"Official"|"2012"|"(Northwest Africa)"|"L5"|"29.2 g"|" "
"Northwest Africa 7773"|"Official"|"2012"|"(Northwest Africa)"|"H4"|"33.2 g"|" "
"Northwest Africa 7776 **"|"Official"|"2012"|"(Northwest Africa)"|"L5"|"2.07 kg"|" "
"Northwest Africa 7777 **"|"Official"|"2012"|"Morocco"|"H3.8"|"1352 g"|" "
"Northwest Africa 7778 **"|"Official"|"2012"|"Morocco"|"LL4-6"|"236 g"|" "
"Northwest Africa 7779 **"|"Official"|"2012"|"Morocco"|"Eucrite"|"49.3 g"|" "
"Northwest Africa 7780 **"|"Official"|"2012"|"Morocco"|"Eucrite"|"26.9 g"|" "
"Northwest Africa 7781 **"|"Official"|"2012"|"Morocco"|"L4"|"647 g"|" "
"Northwest Africa 7782 **"|"Official"|"2012"|"Morocco"|"LL4"|"127.8 g"|" "
"Northwest Africa 7783 **"|"Official"|"2012"|"Morocco"|"H6"|"190.2 g"|" "
"Northwest Africa 7784 **"|"Official"|"2012"|"Morocco"|"H5"|"300 g"|" "
"Northwest Africa 7785 **"|"Official"|"2012"|"Morocco"|"L6"|"601 g"|" "
"Northwest Africa 7786 **"|"Official"|"2012"|"Morocco"|"LL6"|"298 g"|" "
"Northwest Africa 7789 **"|"Official"|"2011"|"(Northwest Africa)"|"LL4"|"8.2 kg"|" "
"Northwest Africa 7795 **"|"Official"|"2012"|"(Northwest Africa)"|"Iron, IAB-ung"|"218 g"|" "
"Northwest Africa 7801 **"|"Official"|"2011"|"(Northwest Africa)"|"CK5"|"337 g"|" "
"Northwest Africa 7804 **"|"Official"|"2011"|"(Northwest Africa)"|"Mesosiderite"|"331 g"|" "
"Northwest Africa 7809 **"|"Official"|"2013"|"(Northwest Africa)"|"EH-melt rock"|"230 g"|" "
