"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Yamato 792628"|"Official"|"1979"|"Antarctica"|"H4/5"|"3.12 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792629"|"Official"|"1979"|"Antarctica"|"H4/5"|"2.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792630"|"Official"|"1979"|"Antarctica"|"H4/5"|"2.32 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792631"|"Official"|"1979"|"Antarctica"|"H4/5"|"2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792632"|"Official"|"1979"|"Antarctica"|"H4/5"|"1.87 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792633"|"Official"|"1979"|"Antarctica"|"H4/5"|"1.73 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792634"|"Official"|"1979"|"Antarctica"|"H4/5"|"1.72 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792635"|"Official"|"1979"|"Antarctica"|"H4/5"|"1.37 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792636"|"Official"|"1979"|"Antarctica"|"H4/5"|"1.25 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792637"|"Official"|"1979"|"Antarctica"|"H4/5"|"1.19 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792638"|"Official"|"1979"|"Antarctica"|"H4/5"|"1.37 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792639"|"Official"|"1979"|"Antarctica"|"H4/5"|"1.06 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792640"|"Official"|"1979"|"Antarctica"|"H4/5"|"1.08 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792641"|"Official"|"1979"|"Antarctica"|"H4/5"|"1.42 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792642"|"Official"|"1979"|"Antarctica"|"H4/5"|"0.67 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792643"|"Official"|"1979"|"Antarctica"|"H4/5"|"0.97 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792644"|"Official"|"1979"|"Antarctica"|"H4/5"|"4.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792645"|"Official"|"1979"|"Antarctica"|"H5"|"5.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792646"|"Official"|"1979"|"Antarctica"|"H4/5"|"4.92 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792647"|"Official"|"1979"|"Antarctica"|"H4/5"|"3.43 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792648"|"Official"|"1979"|"Antarctica"|"H4/5"|"2.73 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792649"|"Official"|"1979"|"Antarctica"|"H4/5"|"2.73 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792650"|"Official"|"1979"|"Antarctica"|"H4/5"|"2.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792651"|"Official"|"1979"|"Antarctica"|"H4/5"|"2.21 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792652"|"Official"|"1979"|"Antarctica"|"H4/5"|"0.68 g"|" NIPR"|"(-71.500000, 35.666670)  "
